Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
255, 3.0761, 3.17168, 1
256, 3.00851, 3.16742, 1
257, 3.07814, 3.36726, 1
258, 3.07462, 3.16992, 1
259, 3.0527, 3.1737, 1
260, 3.07261, 3.17206, 1
261, 3.0768, 3.1688, 1
262, 3.08429, 3.36691, 1
263, 3.08086, 3.1703, 1
264, 2.91635, 3.16806, 1
265, 2.88605, 3.36464, 1
266, 2.83811, 3.21536, 1
267, 2.83034, 3.37162, 1
268, 2.75901, 3.37101, 1
269, 2.82899, 3.37136, 1
270, 2.82976, 3.36378, 1
271, 2.79347, 3.36691, 1
272, 2.83082, 3.35917, 1
273, 3.07264, 3.36874, 1
274, 3.05766, 3.17766, 1
275, 3.09123, 3.16467, 1
276, 3.05917, 3.17072, 1
277, 3.03306, 3.37296, 1
278, 2.84467, 3.36323, 1
279, 2.94499, 3.36522, 1
280, 2.75251, 3.45242, 1
281, 3.0903, 3.36771, 1
282, 2.81984, 3.16499, 1
283, 2.78541, 3.3712, 1
284, 2.82157, 3.36346, 1
285, 2.82419, 3.36077, 1
286, 3.06614, 3.36589, 1
287, 3.09539, 3.16362, 1
288, 3.07622, 3.16163, 1
289, 3.0809, 3.18259, 1
290, 2.9143, 3.3696, 1
291, 2.78986, 3.3609, 1
292, 3.02163, 3.35872, 1
293, 2.90794, 3.36403, 1
294, 3.07814, 3.44688, 1
295, 2.82022, 3.16179, 1
296, 2.83299, 3.35494, 1
297, 3.07814, 3.35667, 1
298, 3.0663, 3.16358, 1
299, 3.08019, 3.1647, 1
300, 3.07056, 3.16147, 1
301, 2.92112, 3.16006, 1
302, 2.87427, 3.35466, 1
303, 3.10096, 3.35478, 1
304, 3.00781, 3.15978, 1
305, 3.01149, 3.36035, 1
306, 3.07389, 3.16435, 1
307, 2.91427, 3.15837, 1
308, 2.85696, 3.35597, 1
309, 3.07101, 3.36301, 1
310, 3.08358, 3.156, 1
311, 3.06957, 3.16006, 1
312, 3.03677, 3.15302, 1
313, 3.03286, 3.34666, 1
314, 3.08224, 3.16173, 1
315, 3.09338, 3.15062, 1
316, 2.92704, 3.15504, 1
317, 2.89475, 3.34886, 1
318, 2.94707, 3.20275, 1
319, 2.87818, 3.35485, 1
320, 2.97389, 3.20355, 1
321, 2.93194, 3.15034, 1
322, 2.88358, 3.34029, 1
323, 3.02493, 3.33523, 1
324, 2.75485, 3.14368, 1
325, 3.08099, 3.32618, 1
326, 2.95117, 3.13139, 1
327, 2.93888, 3.32134, 1
328, 3.0249, 3.3176, 1
329, 3.08214, 3.31021, 1
330, 3.0761, 3.10845, 1
331, 3.09248, 3.10243, 1
332, 3.08634, 3.08947, 1
333, 2.76058, 3.07885, 1
334, 3.07392, 3.36026, 1
335, 3.0727, 3.05616, 1
336, 2.99622, 3.03632, 1
337, 3.06499, 3.21661, 1
338, 3.06528, 3.00221, 1
339, 2.99392, 2.99379, 1
340, 3.07059, 3.15219, 1
341, 3.06586, 2.95546, 1
342, 3.08003, 2.94006, 1
343, 3.07789, 2.92954, 1
344, 3.06858, 2.90413, 1
345, 3.09683, 2.89494, 1
