Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
270, 0.606016, 3.18259, 1
271, 0.603264, 3.18602, 1
272, 0.600512, 3.18045, 1
273, 0.603232, 3.23574, 1
274, 0.602624, 3.18922, 1
275, 0.59392, 3.18515, 1
276, 0.602176, 3.18106, 1
277, 0.600096, 3.17645, 1
278, 0.600608, 3.18166, 1
279, 0.60352, 3.18, 1
280, 0.596736, 3.17645, 1
281, 0.598656, 3.2248, 1
282, 0.602176, 3.17645, 1
283, 0.59168, 3.18464, 1
284, 0.600384, 3.1841, 1
285, 0.600064, 3.17645, 1
286, 0.598016, 3.18054, 1
287, 0.600448, 3.1785, 1
288, 0.600064, 3.1777, 1
289, 0.602016, 3.17712, 1
290, 0.591872, 3.18259, 1
291, 0.595264, 3.22742, 1
292, 0.600064, 3.17808, 1
293, 0.598176, 3.22672, 1
294, 0.601312, 3.17344, 1
295, 0.590752, 3.17235, 1
296, 0.58864, 3.17645, 1
297, 0.590176, 3.17747, 1
298, 0.598016, 3.17072, 1
299, 0.592864, 3.22275, 1
300, 0.58976, 3.22992, 1
301, 0.589824, 3.16931, 1
302, 0.597184, 3.17139, 1
303, 0.598944, 3.17235, 1
304, 0.590272, 3.17011, 1
305, 0.596, 3.18259, 1
306, 0.591392, 3.24374, 1
307, 0.598016, 3.16451, 1
308, 0.596384, 3.16893, 1
309, 0.594944, 3.1728, 1
310, 0.59904, 3.16637, 1
311, 0.596416, 3.17133, 1
312, 0.593216, 3.16896, 1
313, 0.599616, 3.16387, 1
314, 0.586592, 3.16493, 1
315, 0.593856, 3.15994, 1
316, 0.58832, 3.21213, 1
317, 0.595584, 3.16211, 1
318, 0.589344, 3.15482, 1
319, 0.5928, 3.16182, 1
320, 0.585792, 3.15878, 1
321, 0.596608, 3.16211, 1
322, 0.584288, 3.14947, 1
323, 0.59424, 3.1513, 1
324, 0.59392, 3.14947, 1
325, 0.588192, 3.20717, 1
326, 0.587584, 3.19898, 1
327, 0.595968, 3.13779, 1
328, 0.595264, 3.13139, 1
329, 0.591872, 3.13174, 1
330, 0.585056, 3.12147, 1
331, 0.584, 3.12218, 1
332, 0.593248, 3.09862, 1
333, 0.587648, 3.1376, 1
334, 0.589824, 3.13978, 1
335, 0.591008, 3.06742, 1
336, 0.589248, 3.04576, 1
337, 0.587424, 3.0391, 1
338, 0.583616, 3.01187, 1
339, 0.584928, 3.0041, 1
340, 0.580672, 2.99152, 1
341, 0.579584, 2.97261, 1
342, 0.58368, 2.9536, 1
343, 0.5912, 2.93888, 1
344, 0.589504, 2.91789, 1
345, 0.59392, 2.96227, 1
346, 0.591872, 2.88442, 1
347, 0.589984, 2.87555, 1
348, 0.591328, 2.84672, 1
349, 0.591936, 2.84058, 1
350, 0.585248, 2.87072, 1
351, 0.590048, 2.79632, 1
352, 0.581632, 2.7977, 1
353, 0.57856, 2.79498, 1
354, 0.571264, 2.79363, 1
355, 0.577536, 2.80301, 1
356, 0.570272, 2.79549, 1
357, 0.571328, 2.79469, 1
358, 0.57344, 2.80371, 1
359, 0.583424, 2.80166, 1
360, 0.572992, 2.79757, 1
361, 0.575968, 2.80074, 1
362, 0.581152, 2.80371, 1
363, 0.581632, 2.80141, 1
364, 0.58368, 2.80486, 1
365, 0.57648, 2.79962, 1
366, 0.579584, 2.80192, 1
367, 0.583136, 2.79347, 1
368, 0.5816, 2.79366, 1
369, 0.575904, 2.80035, 1
370, 0.579584, 2.80115, 1
371, 0.583392, 2.79645, 1
372, 0.584224, 2.80221, 1
373, 0.58368, 2.80602, 1
374, 0.581632, 2.80541, 1
375, 0.579584, 2.79962, 1
376, 0.57584, 2.79968, 1
377, 0.5816, 2.80166, 1
378, 0.579808, 2.80371, 1
379, 0.579584, 2.80166, 1
380, 0.578368, 2.80771, 1
381, 0.581664, 2.80576, 1
382, 0.582816, 2.80784, 1
383, 0.581632, 2.79786, 1
384, 0.579584, 2.79962, 1
385, 0.577152, 2.79606, 1
386, 0.574848, 2.80179, 1
387, 0.57344, 2.79731, 1
388, 0.58192, 2.79078, 1
389, 0.575488, 2.79402, 1
390, 0.575008, 2.80093, 1
391, 0.57952, 2.79901, 1
392, 0.58016, 2.79568, 1
393, 0.578912, 2.79757, 1
394, 0.57344, 2.79962, 1
395, 0.579584, 2.80426, 1
396, 0.579456, 2.79894, 1
397, 0.581632, 2.79552, 1
398, 0.581632, 2.80054, 1
399, 0.571424, 2.80096, 1
400, 0.579584, 2.79654, 1
401, 0.579904, 2.80371, 1
402, 0.582848, 2.80522, 1
403, 0.573504, 2.80333, 1
404, 0.573856, 2.80074, 1
405, 0.5832, 2.79907, 1
406, 0.576992, 2.80051, 1
407, 0.580608, 2.80608, 1
408, 0.57344, 2.80112, 1
409, 0.568256, 2.80307, 1
