Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
257, 2.95101, 3.35773, 1
258, 2.86624, 3.35165, 1
259, 3.02717, 3.36627, 1
260, 2.84275, 3.36134, 1
261, 3.08403, 3.35715, 1
262, 2.83219, 3.17629, 1
263, 3.00646, 3.35891, 1
264, 3.04742, 3.35258, 1
265, 3.01466, 3.16842, 1
266, 2.79923, 3.35763, 1
267, 3.06035, 3.35194, 1
268, 3.09373, 3.16621, 1
269, 2.93235, 3.16851, 1
270, 2.83648, 3.17443, 1
271, 2.85085, 3.35798, 1
272, 2.82061, 3.3529, 1
273, 2.84432, 3.35725, 1
274, 2.77533, 3.36333, 1
275, 2.80781, 3.3544, 1
276, 2.81837, 3.35715, 1
277, 2.74842, 3.34848, 1
278, 2.81798, 3.3568, 1
279, 2.82896, 3.35542, 1
280, 2.79645, 3.36198, 1
281, 2.74995, 3.35462, 1
282, 2.79757, 3.34522, 1
283, 2.83341, 3.35827, 1
284, 2.80166, 3.34848, 1
285, 2.82611, 3.36077, 1
286, 3.08019, 3.36426, 1
287, 2.84531, 3.16448, 1
288, 3.01264, 3.36205, 1
289, 3.02509, 3.3752, 1
290, 2.8239, 3.36563, 1
291, 3.0249, 3.35667, 1
292, 3.06995, 3.38115, 1
293, 2.9537, 3.16061, 1
294, 2.8201, 3.44218, 1
295, 2.84282, 3.17411, 1
296, 3.06739, 3.36506, 1
297, 2.83427, 3.16867, 1
298, 3.09366, 3.36282, 1
299, 3.06176, 3.16144, 1
300, 2.8199, 3.15997, 1
301, 3.02512, 3.36054, 1
302, 3.072, 3.36486, 1
303, 2.94003, 3.15533, 1
304, 2.95072, 3.36634, 1
305, 2.93568, 3.35856, 1
306, 2.90816, 3.44016, 1
307, 2.84467, 3.43638, 1
308, 3.07453, 3.35747, 1
309, 2.8561, 3.15834, 1
310, 3.10749, 3.36211, 1
311, 2.82752, 3.15706, 1
312, 3.04742, 3.35338, 1
313, 2.75907, 3.15578, 1
314, 3.01078, 3.35133, 1
315, 3.06848, 3.15763, 1
316, 2.91766, 3.15558, 1
317, 2.87555, 3.34678, 1
318, 3.02013, 3.19376, 1
319, 3.0824, 3.3649, 1
320, 3.00691, 3.15187, 1
321, 3.06326, 3.35085, 1
322, 2.81923, 3.14163, 1
323, 3.00429, 3.3345, 1
324, 2.82419, 3.14294, 1
325, 3.00784, 3.33078, 1
326, 3.08557, 3.33264, 1
327, 3.08051, 3.13056, 1
328, 3.02118, 3.11706, 1
329, 3.09802, 3.31571, 1
330, 3.0897, 3.10544, 1
331, 2.92422, 3.09907, 1
332, 2.87056, 3.28234, 1
333, 2.82624, 3.27142, 1
334, 2.93786, 3.26445, 1
335, 2.90752, 3.26118, 1
336, 2.82458, 3.22694, 1
337, 2.96717, 3.2215, 1
338, 2.89014, 3.20205, 1
339, 3.08403, 3.19274, 1
340, 3.04342, 2.96931, 1
341, 3.00595, 3.16211, 1
342, 2.83469, 2.95078, 1
343, 2.81904, 3.12918, 1
344, 2.8463, 3.10662, 1
345, 2.8631, 3.09443, 1
346, 3.0431, 3.07376, 1
347, 3.07571, 3.05562, 1
348, 2.81805, 2.83875, 1
349, 3.01277, 3.0369, 1
350, 2.83926, 3.00646, 1
351, 2.82557, 2.99587, 1
352, 3.07814, 2.99622, 1
353, 3.0479, 2.7999, 1
354, 3.07366, 2.99213, 1
355, 3.06371, 2.79962, 1
356, 3.00237, 2.79962, 1
357, 3.05792, 2.79933, 1
358, 3.06934, 2.79818, 1
359, 3.0679, 2.7999, 1
360, 2.83802, 2.79578, 1
361, 3.00893, 2.99437, 1
362, 3.02982, 2.99213, 1
363, 3.08342, 2.99533, 1
364, 3.0599, 2.8049, 1
365, 2.75875, 2.99952, 1
366, 3.07363, 2.99389, 1
367, 3.05741, 2.79962, 1
368, 2.80166, 2.79792, 1
369, 3.04374, 2.99894, 1
370, 3.08429, 2.80166, 1
371, 3.03104, 2.79347, 1
372, 2.82682, 2.79862, 1
373, 3.02038, 2.99866, 1
374, 3.06995, 2.79562, 1
375, 2.7712, 2.79962, 1
376, 3.0313, 3.00106, 1
377, 3.07718, 2.99686, 1
378, 2.72531, 2.80371, 1
379, 2.97942, 3.00237, 1
380, 2.8225, 3.00186, 1
381, 2.81773, 2.99069, 1
382, 2.82829, 2.99213, 1
383, 2.84339, 2.99008, 1
384, 2.83824, 2.99747, 1
385, 3.06381, 2.99213, 1
386, 3.05123, 2.80618, 1
387, 2.94582, 2.80166, 1
388, 2.89587, 2.99456, 1
389, 3.04742, 2.99482, 1
390, 2.98861, 2.79882, 1
391, 2.97558, 2.99629, 1
392, 2.8104, 3.00035, 1
393, 2.82998, 2.99373, 1
394, 2.96077, 3.00819, 1
395, 2.82656, 3.08054, 1
396, 2.82624, 2.99293, 1
397, 2.83648, 2.99418, 1
398, 3.05626, 2.99075, 1
399, 2.81395, 2.79728, 1
400, 2.9577, 2.99226, 1
401, 3.07606, 3.07814, 1
402, 2.79005, 2.79952, 1
403, 3.0249, 2.99194, 1
404, 3.06342, 2.99827, 1
405, 3.09453, 2.80067, 1
406, 3.0009, 2.79581, 1
407, 3.07814, 2.99706, 1
408, 3.07821, 2.80272, 1
409, 2.92864, 2.80326, 1
410, 2.89792, 3.00051, 1
411, 2.8183, 2.99539, 1
412, 3.00435, 2.99059, 1
413, 2.80563, 2.81213, 1
414, 2.83459, 3.00365, 1
415, 3.07283, 2.99014, 1
416, 3.0111, 2.79811, 1
417, 2.78998, 2.99613, 1
418, 2.82605, 2.99334, 1
419, 3.0816, 2.99126, 1
420, 2.85514, 2.80042, 1
421, 2.94346, 2.99392, 1
422, 2.82157, 3.08006, 1
423, 2.84192, 2.99418, 1
424, 3.00858, 3.00237, 1
425, 3.0177, 3.00106, 1
426, 2.82554, 3.00086, 1
427, 3.06982, 2.99418, 1
428, 2.91942, 2.79552, 1
429, 2.88982, 2.99891, 1
430, 3.07606, 2.99418, 1
431, 3.08019, 2.79552, 1
432, 3.05152, 2.79357, 1
433, 3.06787, 2.79552, 1
434, 3.05955, 2.7927, 1
435, 2.80531, 2.79568, 1
436, 3.04538, 2.99613, 1
437, 3.04333, 2.98598, 1
438, 2.80883, 2.98483, 1
439, 3.05034, 3.00646, 1
440, 3.08634, 2.99066, 1
441, 2.91923, 2.79386, 1
442, 2.85549, 2.99034, 1
443, 2.8265, 2.99494, 1
444, 3.07789, 2.98627, 1
445, 3.06346, 2.79142, 1
446, 3.09248, 2.79594, 1
447, 3.07165, 2.79152, 1
448, 3.06995, 2.79158, 1
449, 3.07526, 2.79142, 1
450, 2.91462, 2.79158, 1
451, 2.86669, 2.98394, 1
452, 2.98189, 2.84134, 1
453, 3.02445, 2.99187, 1
454, 3.02176, 3.08467, 1
455, 3.08227, 3.00214, 1
456, 3.06176, 2.79757, 1
457, 3.03933, 2.79325, 1
458, 3.07965, 2.79962, 1
459, 3.06227, 2.79552, 1
460, 2.82918, 2.79552, 1
461, 3.07766, 2.98637, 1
462, 3.02925, 2.79674, 1
463, 2.80704, 2.99658, 1
464, 3.05779, 2.9856, 1
465, 3.08528, 2.79347, 1
466, 3.02666, 2.79757, 1
467, 3.06982, 2.99213, 1
468, 3.07405, 2.79475, 1
469, 3.0208, 2.80224, 1
470, 3.08234, 2.99702, 1
471, 3.05344, 2.79498, 1
472, 3.0247, 2.78829, 1
473, 3.07741, 2.79757, 1
474, 3.06998, 2.79322, 1
475, 3.00054, 2.79338, 1
476, 2.83904, 2.99501, 1
477, 3.07056, 2.9863, 1
478, 3.02413, 2.79552, 1
479, 3.05971, 2.99213, 1
480, 3.05114, 2.78938, 1
481, 3.0167, 2.79306, 1
482, 3.06602, 2.98557, 1
483, 3.05971, 2.79213, 1
484, 3.03104, 2.8055, 1
485, 2.82566, 2.99238, 1
486, 2.94288, 2.99008, 1
487, 2.88358, 2.99088, 1
488, 2.94259, 2.83747, 1
489, 3.06586, 2.99091, 1
490, 2.79552, 2.79018, 1
491, 3.02016, 2.99213, 1
492, 3.04013, 2.99827, 1
493, 3.0663, 2.79245, 1
494, 3.06765, 2.79018, 1
495, 3.06806, 2.79859, 1
496, 3.04166, 2.79565, 1
497, 3.07872, 2.99757, 1
498, 3.06794, 2.7975, 1
499, 2.77402, 2.80506, 1
500, 2.95754, 2.99347, 1
501, 2.87539, 2.98413, 1
502, 2.80986, 2.984, 1
503, 3.05152, 2.97574, 1
504, 3.04742, 2.97821, 1
505, 2.8241, 2.79142, 1
506, 3.05562, 2.97984, 1
507, 2.82547, 2.79558, 1
508, 3.05181, 2.97779, 1
509, 3.0679, 2.78877, 1
510, 3.05971, 2.79347, 1
511, 3.04746, 2.79962, 1
512, 2.99008, 2.9752, 1
513, 3.06381, 2.98394, 1
514, 3.00458, 2.80963, 1
515, 3.00646, 2.98893, 1
516, 2.97005, 2.79104, 1
517, 2.8719, 2.97574, 1
518, 3.08634, 2.98189, 1
519, 3.08598, 2.79462, 1
520, 3.03421, 2.79027, 1
521, 3.08656, 2.79322, 1
522, 3.08557, 2.79232, 1
523, 2.81162, 2.79005, 1
524, 3.08019, 2.97738, 1
525, 3.00646, 2.79347, 1
526, 2.99213, 2.9777, 1
527, 3.06387, 2.9737, 1
528, 3.01261, 2.79174, 1
529, 2.928, 2.98387, 1
530, 3.02618, 2.97619, 1
531, 2.83443, 2.97178, 1
532, 2.84192, 2.97245, 1
533, 2.82432, 2.97302, 1
534, 3.08794, 2.97574, 1
535, 3.07798, 2.79347, 1
536, 2.80794, 2.7903, 1
537, 3.06186, 2.97574, 1
538, 2.84842, 2.97261, 1
539, 3.01552, 2.97315, 1
540, 3.07082, 2.79376, 1
541, 2.93958, 2.80397, 1
542, 2.88096, 2.97091, 1
543, 2.82611, 2.98061, 1
544, 2.79674, 2.97984, 1
545, 2.92842, 2.98189, 1
546, 2.84186, 3.07936, 1
547, 2.83443, 2.97523, 1
548, 3.0679, 2.97139, 1
549, 3.04742, 2.79379, 1
550, 2.98112, 2.79302, 1
551, 3.06381, 2.97779, 1
552, 3.08134, 2.79174, 1
553, 2.95219, 2.79469, 1
554, 3.08381, 3.05971, 1
555, 3.06806, 2.79142, 1
556, 3.01504, 2.79747, 1
557, 3.06032, 2.97296, 1
558, 3.06413, 2.79414, 1
559, 3.07424, 2.79789, 1
560, 3.01466, 2.79728, 1
561, 3.06426, 2.9712, 1
562, 3.06822, 2.79283, 1
563, 3.03104, 2.79702, 1
564, 3.09072, 2.97574, 1
565, 3.0703, 2.79152, 1
566, 3.02461, 2.79744, 1
567, 2.84672, 2.97574, 1
568, 3.07402, 2.96787, 1
569, 3.05357, 2.79171, 1
570, 2.82003, 2.79024, 1
571, 2.98394, 2.98189, 1
572, 3.06483, 2.97648, 1
573, 3.07814, 2.79578, 1
574, 3.04538, 2.80733, 1
575, 2.92947, 2.79552, 1
576, 2.80912, 3.06586, 1
577, 3.05578, 2.97853, 1
578, 2.81424, 2.79245, 1
579, 3.00832, 2.97152, 1
580, 2.84522, 2.97923, 1
581, 3.08451, 2.98125, 1
582, 3.07053, 2.79552, 1
583, 3.06749, 2.79315, 1
584, 3.07782, 2.79405, 1
585, 3.06992, 2.7953, 1
586, 3.04966, 2.79546, 1
