Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_GI_Off
523, 0, 1.86541, 1
524, 0, 1.86368, 1
525, 0, 1.86451, 1
526, 0, 1.86368, 1
527, 0, 1.86778, 1
528, 0, 1.86234, 1
529, 0, 1.86602, 1
530, 0, 1.86432, 1
531, 0, 1.86435, 1
532, 0, 1.86368, 1
533, 0, 1.87472, 1
534, 0, 1.86954, 1
535, 0, 1.86384, 1
536, 0, 1.86778, 1
537, 0, 1.87107, 1
538, 0, 1.86163, 1
539, 0, 1.86314, 1
540, 0, 1.86512, 1
541, 0, 1.86458, 1
542, 0, 1.86368, 1
543, 0, 1.86163, 1
544, 0, 1.86365, 1
545, 0, 1.86163, 1
546, 0, 1.86563, 1
547, 0, 1.86531, 1
548, 0, 1.86547, 1
549, 0, 1.86368, 1
550, 0, 1.86224, 1
551, 0, 1.86368, 1
552, 0, 1.86534, 1
553, 0, 1.86643, 1
554, 0, 1.86256, 1
555, 0, 1.86573, 1
556, 0, 1.86003, 1
557, 0, 1.86678, 1
558, 0, 1.86451, 1
559, 0, 1.86406, 1
560, 0, 1.86326, 1
561, 0, 1.8648, 1
562, 0, 1.86166, 1
563, 0, 1.86323, 1
564, 0, 1.86541, 1
565, 0, 1.86515, 1
566, 0, 1.86374, 1
567, 0, 1.86742, 1
568, 0, 1.86256, 1
569, 0, 1.86368, 1
570, 0, 1.86371, 1
571, 0, 1.86982, 1
572, 0, 1.86314, 1
573, 0, 1.86771, 1
574, 0, 1.86413, 1
575, 0, 1.86576, 1
576, 0, 1.86778, 1
577, 0, 1.86534, 1
578, 0, 1.86246, 1
579, 0, 1.86573, 1
580, 0, 1.86291, 1
581, 0, 1.86378, 1
582, 0, 1.86474, 1
583, 0, 1.86381, 1
584, 0, 1.86365, 1
585, 0, 1.86019, 1
586, 0, 1.8639, 1
587, 0, 1.86701, 1
588, 0, 1.86592, 1
589, 0, 1.86368, 1
590, 0, 1.86176, 1
591, 0, 1.86342, 1
592, 0, 1.86451, 1
593, 0, 1.86512, 1
594, 0, 1.86368, 1
595, 0, 1.86294, 1
596, 0, 1.86342, 1
597, 0, 1.8688, 1
598, 0, 1.86474, 1
599, 0, 1.86352, 1
600, 0, 1.86678, 1
