Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_GI_Off
380, 0, 1.86368, 1
381, 0, 1.86368, 1
382, 0, 1.86365, 1
383, 0, 1.86368, 1
384, 0, 1.86858, 1
385, 0, 1.86339, 1
386, 0, 1.86518, 1
387, 0, 1.8623, 1
388, 0, 1.86838, 1
389, 0, 1.86573, 1
390, 0, 1.86429, 1
391, 0, 1.85971, 1
392, 0, 1.8679, 1
393, 0, 1.86586, 1
394, 0, 1.86518, 1
395, 0, 1.86221, 1
396, 0, 1.8695, 1
397, 0, 1.86778, 1
398, 0, 1.86496, 1
399, 0, 1.86573, 1
400, 0, 1.86234, 1
401, 0, 1.86429, 1
402, 0, 1.86531, 1
403, 0, 1.86982, 1
404, 0, 1.86765, 1
405, 0, 1.86464, 1
406, 0, 1.86426, 1
407, 0, 1.87059, 1
408, 0, 1.86813, 1
409, 0, 1.86368, 1
410, 0, 1.86627, 1
411, 0, 1.86381, 1
412, 0, 1.86778, 1
413, 0, 1.86461, 1
414, 0, 1.86368, 1
415, 0, 1.86218, 1
416, 0, 1.86573, 1
417, 0, 1.86336, 1
418, 0, 1.86368, 1
419, 0, 1.86502, 1
420, 0, 1.86474, 1
421, 0, 1.86186, 1
422, 0, 1.86618, 1
423, 0, 1.86422, 1
424, 0, 1.86512, 1
425, 0, 1.86557, 1
426, 0, 1.8663, 1
427, 0, 1.86554, 1
428, 0, 1.86656, 1
429, 0, 1.86163, 1
430, 0, 1.86557, 1
431, 0, 1.86982, 1
432, 0, 1.86458, 1
433, 0, 1.86368, 1
434, 0, 1.86653, 1
435, 0, 1.86816, 1
436, 0, 1.86573, 1
437, 0, 1.86627, 1
438, 0, 1.8625, 1
439, 0, 1.86573, 1
440, 0, 1.86368, 1
441, 0, 1.8624, 1
442, 0, 1.86294, 1
443, 0, 1.86573, 1
444, 0, 1.8657, 1
445, 0, 1.86323, 1
446, 0, 1.86573, 1
447, 0, 1.86474, 1
448, 0, 1.86573, 1
449, 0, 1.86304, 1
450, 0, 1.86573, 1
451, 0, 1.86304, 1
452, 0, 1.86438, 1
453, 0, 1.86368, 1
454, 0, 1.86778, 1
455, 0, 1.86131, 1
456, 0, 1.86368, 1
457, 0, 1.8696, 1
458, 0, 1.86525, 1
459, 0, 1.86566, 1
460, 0, 1.86358, 1
461, 0, 1.86784, 1
462, 0, 1.86746, 1
463, 0, 1.86285, 1
464, 0, 1.86499, 1
465, 0, 1.86416, 1
466, 0, 1.86605, 1
467, 0, 1.8665, 1
468, 0, 1.86589, 1
469, 0, 1.86202, 1
470, 0, 1.86848, 1
471, 0, 1.86259, 1
472, 0, 1.86573, 1
473, 0, 1.86384, 1
474, 0, 1.86262, 1
475, 0, 1.8623, 1
476, 0, 1.8648, 1
477, 0, 1.86778, 1
478, 0, 1.86413, 1
479, 0, 1.86573, 1
480, 0, 1.86448, 1
481, 0, 1.86778, 1
482, 0, 1.8663, 1
483, 0, 1.86474, 1
484, 0, 1.86438, 1
485, 0, 1.86557, 1
486, 0, 1.8697, 1
487, 0, 1.86717, 1
488, 0, 1.86403, 1
489, 0, 1.86525, 1
490, 0, 1.86352, 1
491, 0, 1.86208, 1
492, 0, 1.86605, 1
493, 0, 1.86573, 1
494, 0, 1.86352, 1
495, 0, 1.86576, 1
496, 0, 1.86982, 1
497, 0, 1.86368, 1
498, 0, 1.86538, 1
499, 0, 1.86762, 1
500, 0, 1.86573, 1
501, 0, 1.86586, 1
502, 0, 1.86368, 1
503, 0, 1.86336, 1
504, 0, 1.86381, 1
505, 0, 1.86378, 1
506, 0, 1.86438, 1
507, 0, 1.86368, 1
508, 0, 1.8664, 1
509, 0, 1.86573, 1
510, 0, 1.86448, 1
511, 0, 1.86528, 1
512, 0, 1.86541, 1
513, 0, 1.86573, 1
514, 0, 1.85958, 1
515, 0, 1.86474, 1
516, 0, 1.86397, 1
517, 0, 1.86573, 1
518, 0, 1.86214, 1
519, 0, 1.86778, 1
520, 0, 1.86538, 1
521, 0, 1.86573, 1
522, 0, 1.86275, 1
523, 0, 1.86784, 1
524, 0, 1.86714, 1
525, 0, 1.86307, 1
526, 0, 1.86368, 1
527, 0, 1.86307, 1
528, 0, 1.87133, 1
529, 0, 1.86573, 1
530, 0, 1.86394, 1
531, 0, 1.86368, 1
532, 0, 1.86778, 1
533, 0, 1.86368, 1
534, 0, 1.86691, 1
535, 0, 1.86397, 1
536, 0, 1.86608, 1
537, 0, 1.86029, 1
538, 0, 1.86317, 1
539, 0, 1.86371, 1
540, 0, 1.86368, 1
541, 0, 1.86461, 1
542, 0, 1.86826, 1
543, 0, 1.86419, 1
544, 0, 1.86291, 1
545, 0, 1.86531, 1
546, 0, 1.86842, 1
547, 0, 1.86368, 1
548, 0, 1.86515, 1
549, 0, 1.8639, 1
550, 0, 1.86982, 1
551, 0, 1.86803, 1
552, 0, 1.86774, 1
553, 0, 1.86592, 1
554, 0, 1.86493, 1
555, 0, 1.86304, 1
556, 0, 1.86653, 1
557, 0, 1.86307, 1
558, 0, 1.86554, 1
559, 0, 1.86586, 1
560, 0, 1.86518, 1
561, 0, 1.86368, 1
562, 0, 1.86675, 1
563, 0, 1.86272, 1
564, 0, 1.8648, 1
565, 0, 1.8655, 1
566, 0, 1.86298, 1
567, 0, 1.86541, 1
568, 0, 1.86573, 1
569, 0, 1.86541, 1
570, 0, 1.86333, 1
571, 0, 1.86368, 1
572, 0, 1.86368, 1
573, 0, 1.86512, 1
574, 0, 1.86256, 1
575, 0, 1.86368, 1
576, 0, 1.86662, 1
577, 0, 1.86342, 1
578, 0, 1.8656, 1
579, 0, 1.86368, 1
580, 0, 1.86451, 1
581, 0, 1.8641, 1
582, 0, 1.86365, 1
583, 0, 1.8664, 1
584, 0, 1.86771, 1
585, 0, 1.86227, 1
586, 0, 1.86368, 1
587, 0, 1.86493, 1
588, 0, 1.8665, 1
589, 0, 1.86573, 1
590, 0, 1.86368, 1
591, 0, 1.86518, 1
592, 0, 1.86669, 1
593, 0, 1.86426, 1
594, 0, 1.8655, 1
595, 0, 1.87002, 1
596, 0, 1.86573, 1
597, 0, 1.86534, 1
598, 0, 1.86608, 1
599, 0, 1.86502, 1
600, 0, 1.86832, 1
