Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
358, 5.5345, 1.8264, 1
359, 5.40054, 1.82272, 1
360, 5.35203, 1.82477, 1
361, 5.50502, 1.82518, 1
362, 5.31859, 1.82477, 1
363, 5.53437, 1.82685, 1
364, 5.53171, 1.83021, 1
365, 5.28317, 1.82682, 1
366, 5.34307, 1.82778, 1
367, 5.5319, 1.82531, 1
368, 5.30842, 1.82714, 1
369, 5.3801, 1.82682, 1
370, 5.51091, 1.82272, 1
371, 5.5296, 1.8272, 1
372, 5.53315, 1.82154, 1
373, 5.32275, 1.83088, 1
374, 5.52346, 1.82272, 1
375, 5.30432, 1.82445, 1
376, 5.29382, 1.82672, 1
377, 5.31296, 1.83501, 1
378, 5.53274, 1.82701, 1
379, 5.54883, 1.82688, 1
380, 5.36339, 1.82518, 1
381, 5.33466, 1.82742, 1
382, 5.52714, 1.82595, 1
383, 5.36576, 1.82506, 1
384, 5.54282, 1.82685, 1
385, 5.3599, 1.82682, 1
386, 5.5296, 1.82682, 1
387, 5.39827, 1.82682, 1
388, 5.5255, 1.82886, 1
389, 5.38214, 1.82669, 1
390, 5.31459, 1.82477, 1
391, 5.3207, 1.82477, 1
392, 5.39392, 1.82682, 1
393, 5.30621, 1.82531, 1
394, 5.30694, 1.83062, 1
395, 5.31206, 1.8288, 1
396, 5.3695, 1.82477, 1
397, 5.29856, 1.82934, 1
398, 5.3265, 1.82682, 1
399, 5.54288, 1.82806, 1
400, 5.35008, 1.82563, 1
401, 5.54886, 1.82704, 1
402, 5.37395, 1.82566, 1
403, 5.31226, 1.8288, 1
404, 5.31456, 1.83059, 1
405, 5.53635, 1.8247, 1
406, 5.35117, 1.82272, 1
407, 5.33488, 1.82682, 1
408, 5.53414, 1.82403, 1
409, 5.52746, 1.82861, 1
410, 5.37702, 1.82618, 1
411, 5.30845, 1.8271, 1
412, 5.38419, 1.8289, 1
413, 5.53622, 1.82496, 1
414, 5.35395, 1.82275, 1
415, 5.37366, 1.82624, 1
416, 5.54653, 1.8265, 1
417, 5.39034, 1.82643, 1
418, 5.33299, 1.82458, 1
419, 5.34006, 1.82614, 1
420, 5.53456, 1.82682, 1
421, 5.53984, 1.82682, 1
422, 5.38214, 1.82374, 1
423, 5.29613, 1.82682, 1
424, 5.38624, 1.82768, 1
425, 5.31776, 1.828, 1
426, 5.52915, 1.82518, 1
427, 5.34426, 1.82528, 1
428, 5.32288, 1.82739, 1
429, 5.29098, 1.83059, 1
430, 5.51616, 1.82989, 1
431, 5.30138, 1.82477, 1
432, 5.53779, 1.82694, 1
433, 5.38051, 1.82595, 1
434, 5.31613, 1.67123, 1
435, 5.5337, 1.8256, 1
436, 5.54733, 1.82486, 1
437, 5.28998, 1.82698, 1
438, 5.53779, 1.82886, 1
439, 5.55437, 1.82861, 1
440, 5.28336, 1.82886, 1
441, 5.38205, 1.83091, 1
442, 5.53059, 1.82298, 1
443, 5.52141, 1.82496, 1
444, 5.34256, 1.82458, 1
445, 5.52918, 1.82682, 1
446, 5.53696, 1.82886, 1
447, 5.29219, 1.82477, 1
448, 5.51731, 1.82317, 1
449, 5.35347, 1.82618, 1
450, 5.3488, 1.67322, 1
451, 5.31456, 1.83091, 1
452, 5.3456, 1.8255, 1
453, 5.33283, 1.82563, 1
454, 5.35142, 1.83238, 1
455, 5.53949, 1.83245, 1
456, 5.36576, 1.82477, 1
457, 5.52925, 1.82829, 1
458, 5.32438, 1.82509, 1
459, 5.51869, 1.82762, 1
460, 5.35235, 1.82752, 1
461, 5.35875, 1.82886, 1
462, 5.54189, 1.82771, 1
463, 5.29405, 1.82682, 1
464, 5.3951, 1.83024, 1
465, 5.33859, 1.82493, 1
466, 5.36147, 1.8297, 1
467, 5.5367, 1.82339, 1
468, 5.32275, 1.82886, 1
469, 5.35213, 1.82886, 1
470, 5.5255, 1.82912, 1
471, 5.33971, 1.82259, 1
472, 5.36605, 1.82682, 1
473, 5.35331, 1.82486, 1
474, 5.34413, 1.82477, 1
475, 5.53376, 1.82682, 1
476, 5.52336, 1.82675, 1
477, 5.36371, 1.82682, 1
478, 5.5255, 1.82784, 1
479, 5.55213, 1.82518, 1
480, 5.30086, 1.82682, 1
481, 5.5264, 1.82691, 1
482, 5.53338, 1.82477, 1
483, 5.3207, 1.82646, 1
484, 5.39238, 1.83418, 1
485, 5.3415, 1.82925, 1
486, 5.5217, 1.82298, 1
487, 5.30957, 1.8263, 1
488, 5.53984, 1.82272, 1
489, 5.54582, 1.83296, 1
490, 5.37392, 1.82886, 1
491, 5.35162, 1.82352, 1
492, 5.34954, 1.82886, 1
493, 5.55418, 1.82301, 1
494, 5.35789, 1.82272, 1
495, 5.35142, 1.82682, 1
496, 5.36387, 1.82515, 1
497, 5.31446, 1.82506, 1
498, 5.36781, 1.82272, 1
499, 5.54102, 1.8265, 1
500, 5.34602, 1.82742, 1
501, 5.37091, 1.82682, 1
502, 5.33613, 1.67267, 1
503, 5.54131, 1.82634, 1
504, 5.32179, 1.8224, 1
505, 5.36131, 1.82838, 1
506, 5.3617, 1.82662, 1
507, 5.38662, 1.82554, 1
508, 5.53046, 1.82528, 1
509, 5.35293, 1.82541, 1
510, 5.53622, 1.82733, 1
511, 5.36909, 1.82371, 1
512, 5.54938, 1.82461, 1
513, 5.53091, 1.82378, 1
514, 5.38778, 1.82659, 1
515, 5.52141, 1.82736, 1
516, 5.3696, 1.82995, 1
517, 5.3023, 1.82477, 1
518, 5.3288, 1.8289, 1
519, 5.29408, 1.82682, 1
520, 5.30003, 1.82576, 1
521, 5.39286, 1.82419, 1
522, 5.31798, 1.8241, 1
523, 5.34381, 1.82531, 1
524, 5.54115, 1.82477, 1
525, 5.31638, 1.82912, 1
526, 5.35347, 1.82672, 1
527, 5.39034, 1.82515, 1
528, 5.30816, 1.82682, 1
529, 5.36954, 1.83341, 1
530, 5.53715, 1.83021, 1
531, 5.27565, 1.82477, 1
532, 5.3801, 1.82886, 1
533, 5.53738, 1.82342, 1
534, 5.50874, 1.82477, 1
535, 5.51018, 1.82298, 1
536, 5.52992, 1.82813, 1
537, 5.32365, 1.82669, 1
538, 5.51731, 1.82944, 1
539, 5.30643, 1.82333, 1
540, 5.52797, 1.8271, 1
541, 5.36576, 1.82678, 1
542, 5.34358, 1.82682, 1
543, 5.3248, 1.82477, 1
544, 5.36781, 1.83091, 1
545, 5.29702, 1.82371, 1
546, 5.2735, 1.82886, 1
547, 5.32432, 1.83178, 1
548, 5.29114, 1.82586, 1
549, 5.29254, 1.82701, 1
550, 5.30022, 1.82518, 1
551, 5.2863, 1.82694, 1
552, 5.3193, 1.82432, 1
553, 5.29408, 1.82886, 1
554, 5.5255, 1.82477, 1
555, 5.35747, 1.82272, 1
556, 5.3248, 1.67117, 1
557, 5.30634, 1.8279, 1
558, 5.32669, 1.82784, 1
559, 5.51526, 1.83091, 1
560, 5.33581, 1.82739, 1
561, 5.29584, 1.82477, 1
562, 5.29811, 1.83091, 1
563, 5.33853, 1.82768, 1
564, 5.30106, 1.82861, 1
565, 5.3127, 1.82797, 1
566, 5.41082, 1.82682, 1
567, 5.30842, 1.82822, 1
568, 5.516, 1.82682, 1
569, 5.31158, 1.82717, 1
570, 5.36198, 1.82374, 1
571, 5.31338, 1.82464, 1
572, 5.34912, 1.82595, 1
573, 5.31597, 1.82435, 1
574, 5.31251, 1.82976, 1
575, 5.3249, 1.83501, 1
576, 5.51322, 1.82624, 1
577, 5.32096, 1.82477, 1
578, 5.51408, 1.82656, 1
579, 5.51731, 1.82672, 1
580, 5.28595, 1.82454, 1
581, 5.51322, 1.82682, 1
582, 5.31046, 1.82243, 1
583, 5.2655, 1.83091, 1
584, 5.35347, 1.82531, 1
585, 5.2921, 1.82432, 1
586, 5.52723, 1.82579, 1
587, 5.31866, 1.82662, 1
588, 5.51462, 1.82627, 1
589, 5.31456, 1.82595, 1
590, 5.50502, 1.82797, 1
591, 5.51526, 1.82902, 1
592, 5.35866, 1.82682, 1
593, 5.36624, 1.82682, 1
594, 5.31866, 1.82746, 1
595, 5.50134, 1.82682, 1
596, 5.32403, 1.82272, 1
597, 5.26666, 1.82688, 1
598, 5.29501, 1.82867, 1
599, 5.28374, 1.82787, 1
600, 5.52182, 1.82477, 1
